,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Other,ID,time
Rhondda,0.1,0.64,0.01,0.0,0.22,0.0,0.03,0.0,W07000052,2017-06-09 02:20:52
Bootle,0.12,0.84,0.02,0.0,0.0,0.01,0.0,0.01,E14000581,2017-06-09 02:21:52
Huntingdon,0.55,0.31,0.08,0.0,0.0,0.02,0.04,0.0,E14000757,2017-06-09 02:22:02
Inverclyde,0.22,0.38,0.02,0.38,0.0,0.0,0.0,0.0,S14000038,2017-06-09 02:22:13
Great Grimsby,0.42,0.49,0.03,0.0,0.0,0.0,0.05,0.01,E14000716,2017-06-09 02:22:23
Amber Valley,0.56,0.38,0.02,0.0,0.0,0.01,0.0,0.01,E14000533,2017-06-09 02:22:32
Wolverhampton South East,0.35,0.58,0.01,0.0,0.0,0.01,0.05,0.0,E14001050,2017-06-09 02:22:42
Pendle,0.49,0.46,0.02,0.0,0.0,0.01,0.0,0.02,E14000875,2017-06-09 02:22:52
Wyre Forest,0.58,0.32,0.04,0.0,0.0,0.02,0.04,0.0,E14001058,2017-06-09 02:23:02
Dundee West,0.16,0.33,0.03,0.47,0.0,0.0,0.0,0.01,S14000016,2017-06-09 02:23:32
Rochford and Southend East,0.49,0.37,0.03,0.0,0.0,0.02,0.04,0.06,E14000899,2017-06-09 02:23:42
Ochil and South Perthshire,0.42,0.2,0.03,0.35,0.0,0.0,0.0,0.0,S14000050,2017-06-09 02:24:33
Mid Worcestershire,0.65,0.23,0.06,0.0,0.0,0.02,0.03,0.0,E14000818,2017-06-09 02:24:52
Wirral South,0.39,0.57,0.03,0.0,0.0,0.01,0.0,0.0,E14001043,2017-06-09 02:25:03
Bridgend,0.4,0.51,0.02,0.0,0.04,0.0,0.02,0.02,W07000073,2017-06-09 02:25:13
Sutton Coldfield,0.61,0.32,0.04,0.0,0.0,0.02,0.0,0.01,E14000985,2017-06-09 02:25:23
Doncaster Central,0.34,0.58,0.02,0.0,0.0,0.0,0.0,0.05,E14000668,2017-06-09 02:25:32
Aldershot,0.55,0.32,0.07,0.0,0.0,0.02,0.04,0.0,E14000530,2017-06-09 02:25:43
Montgomeryshire,0.52,0.16,0.25,0.0,0.06,0.02,0.0,0.0,W07000063,2017-06-09 02:25:53
Midlothian,0.25,0.36,0.04,0.34,0.0,0.0,0.0,0.0,S14000045,2017-06-09 02:26:12
East Surrey,0.6,0.19,0.1,0.0,0.0,0.02,0.04,0.05,E14000681,2017-06-09 02:26:42
Christchurch,0.7,0.2,0.08,0.0,0.0,0.03,0.0,0.0,E14000638,2017-06-09 02:26:53
Chorley,0.42,0.55,0.02,0.0,0.0,0.01,0.0,0.0,E14000637,2017-06-09 02:27:03
South Cambridgeshire,0.52,0.27,0.19,0.0,0.0,0.02,0.0,0.0,E14000934,2017-06-09 02:27:23
Aberdeen North,0.23,0.3,0.05,0.41,0.0,0.0,0.0,0.01,S14000001,2017-06-09 02:27:33
Cynon Valley,0.19,0.61,0.02,0.0,0.14,0.0,0.04,0.0,W07000070,2017-06-09 02:27:42
Southend West,0.55,0.34,0.04,0.0,0.0,0.02,0.04,0.01,E14000957,2017-06-09 02:28:33
Rochdale,0.28,0.58,0.08,0.0,0.0,0.0,0.03,0.02,E14000897,2017-06-09 02:28:43
Ynys Mon,0.28,0.42,0.01,0.0,0.27,0.0,0.02,0.0,W07000041,2017-06-09 02:29:13
Southport,0.39,0.33,0.26,0.0,0.0,0.0,0.02,0.0,E14000958,2017-06-09 02:30:02
"Sheffield, Heeley",0.29,0.6,0.05,0.0,0.0,0.02,0.04,0.0,E14000923,2017-06-09 02:30:13
North Durham,0.3,0.6,0.05,0.0,0.0,0.0,0.06,0.0,E14000840,2017-06-09 02:30:23
Neath,0.24,0.57,0.02,0.0,0.14,0.0,0.04,0.0,W07000069,2017-06-09 02:30:33
Wolverhampton South West,0.44,0.49,0.02,0.0,0.0,0.01,0.02,0.01,E14001051,2017-06-09 02:31:24
Bristol South,0.31,0.6,0.03,0.0,0.0,0.03,0.03,0.0,E14000601,2017-06-09 02:31:33
Aberconwy,0.45,0.43,0.03,0.0,0.1,0.0,0.0,0.0,W07000058,2017-06-09 02:32:03
Blackpool North and Cleveleys,0.49,0.44,0.02,0.0,0.0,0.01,0.03,0.0,E14000572,2017-06-09 02:32:33
Bury South,0.42,0.53,0.02,0.0,0.0,0.0,0.03,0.0,E14000612,2017-06-09 02:33:53
Barnsley Central,0.24,0.64,0.01,0.0,0.0,0.02,0.08,0.01,E14000541,2017-06-09 02:35:13
Cardiff Central,0.2,0.62,0.13,0.0,0.02,0.01,0.01,0.0,W07000050,2017-06-09 02:35:43
Kingston upon Hull East,0.3,0.58,0.03,0.0,0.0,0.01,0.07,0.0,E14000771,2017-06-09 02:35:53
Westminster North,0.33,0.6,0.05,0.0,0.0,0.01,0.0,0.0,E14001036,2017-06-09 02:36:23
South West Bedfordshire,0.59,0.34,0.05,0.0,0.0,0.02,0.0,0.01,E14000949,2017-06-09 02:36:33
Burton,0.58,0.38,0.02,0.0,0.0,0.02,0.0,0.0,E14000610,2017-06-09 02:36:43
Bromsgrove,0.62,0.31,0.05,0.0,0.0,0.02,0.0,0.0,E14000605,2017-06-09 02:36:53
Sheffield South East,0.32,0.58,0.03,0.0,0.0,0.0,0.06,0.0,E14000920,2017-06-09 02:37:03
Monmouth,0.53,0.37,0.04,0.0,0.03,0.02,0.02,0.0,W07000054,2017-06-09 02:37:14
Nottingham South,0.31,0.62,0.03,0.0,0.0,0.01,0.02,0.0,E14000867,2017-06-09 02:37:43
Eastleigh,0.5,0.2,0.26,0.0,0.0,0.01,0.03,0.0,E14000685,2017-06-09 02:38:03
Brecon and Radnorshire,0.49,0.18,0.29,0.0,0.03,0.0,0.01,0.0,W07000068,2017-06-09 02:38:13
"Liverpool, West Derby",0.1,0.83,0.01,0.0,0.0,0.01,0.0,0.05,E14000796,2017-06-09 02:39:03
Coventry South,0.38,0.55,0.03,0.0,0.0,0.01,0.02,0.0,E14000651,2017-06-09 02:39:44
Harwich and North Essex,0.58,0.3,0.05,0.0,0.0,0.02,0.03,0.0,E14000734,2017-06-09 02:40:14
Tunbridge Wells,0.57,0.26,0.1,0.0,0.0,0.03,0.03,0.01,E14001004,2017-06-09 02:40:24
Bolton North East,0.42,0.51,0.03,0.0,0.0,0.01,0.04,0.0,E14000578,2017-06-09 02:41:24
Aberavon,0.18,0.68,0.02,0.0,0.08,0.0,0.04,0.0,W07000049,2017-06-09 02:41:43
East Renfrewshire,0.4,0.27,0.02,0.31,0.0,0.0,0.0,0.0,S14000021,2017-06-09 02:41:54
Ealing North,0.28,0.66,0.02,0.0,0.0,0.01,0.02,0.0,E14000675,2017-06-09 02:42:03
Bristol East,0.34,0.61,0.03,0.0,0.0,0.02,0.0,0.0,E14000599,2017-06-09 02:42:13
Bishop Auckland,0.47,0.48,0.03,0.0,0.0,0.0,0.0,0.02,E14000569,2017-06-09 02:42:34
East Dunbartonshire,0.15,0.14,0.41,0.3,0.0,0.0,0.0,0.0,S14000018,2017-06-09 02:42:44
Alyn and Deeside,0.4,0.52,0.02,0.0,0.03,0.0,0.02,0.0,W07000043,2017-06-09 02:42:54
West Worcestershire,0.62,0.24,0.09,0.0,0.0,0.03,0.03,0.0,E14001035,2017-06-09 02:43:14
High Peak,0.45,0.5,0.05,0.0,0.0,0.0,0.0,0.0,E14000748,2017-06-09 02:43:24
Eltham,0.41,0.54,0.03,0.0,0.0,0.0,0.0,0.02,E14000690,2017-06-09 02:43:34
Mitcham and Morden,0.24,0.69,0.03,0.0,0.0,0.01,0.02,0.0,E14000823,2017-06-09 02:43:44
Solihull,0.58,0.22,0.16,0.0,0.0,0.02,0.02,0.0,E14000931,2017-06-09 02:43:54
Stevenage,0.5,0.43,0.04,0.0,0.0,0.02,0.0,0.0,E14000968,2017-06-09 02:44:04
Coventry North East,0.3,0.63,0.02,0.0,0.0,0.01,0.03,0.0,E14000649,2017-06-09 02:44:14
